;\daten\info\skalen\?SPRACHE?\;;Die Skalen-Info-Texte müssen in folgendem Verzeichnis liegen (SPRACHE ist abhängig von der Primär definierten Sprache de-DE oder fr-FR).;
;aktivStation=<kurzbezeichnung>;<kurzbezeichnung> funktioniert sowohl mit STATABKURZUNG als auch mit STATBEZEICHNUNG;Vorauswahl der angegebenen OE im LogIn, nur an lokalem Arbeitsplatz verwenden, auf einem Terminalserver betrifft dies ALLE Anwender.;LogIn
;AllowEditMedication;0=gesperrt<br>1=erlaubt;Sperrt die Bearbeitung der Medikation in GRIPS (Definition, Änderung, Absetzen, Abzeichnung nicht möglich).;
;AllowInsertMedForBerstatus=x;;Erlaubt es Mitarbeitern mit einer Qualifikation aus Ber_status=x, neue Medikamente in der DB anzulegen. Ohne Eintrag dürfen dies weiterhin nur Administratoren.;
;allowIntervPlaningForContext;0=deaktiviert<br>1=aktiviert;Erlaubt einer bestimmten Personengruppe ein definiertes Maßnahmen-Cluster zu planen (für Mobilen Dienste Österreich). // Änderungsmöglichkeit von geplanten Maßnahmen für Hilfskräfte (Im Freitextfeld können Hilfskräfte Ergänzungen hinzufügen).;
;allowIntervReworkForContext;0=deaktiviert<br>1=aktiviert;Erlaubt einer bestimmten Personengruppe geplante Maßnahmen im Durchführungsnachweis direkt zu verändern ohne in den Bearbeitungsmodus zu gehen (für SHD Luxemburg) // DB: Tabelle GR_ALLOW_REWORK_PLAN<br>QUALI_ID = Wert aus GR_SYSLISTTEXT, also der Filter, der bei der Maßnahme geplant sein muss, damit sie bearbeitbar für Hilfskräfte wird<br>FUNKGR_ID= FUNKGR_ID aus PERS_FUNKTIONS, die Personengruppe, die dann die Maßnahmen im obigen Filter verändern darf.;
;AllowSystemTimeshiftToServer;0=deaktiviert<br>1=aktiviert;WINDOWSZEIT DARF NICHT MEHR WIE 5 MINUTEN ABWEICHEN, ansonsten gibt es eine Warnmeldung und GRIPS wird beendet. Dies kann durch den Parameter umgangen werden. Darf NUR INTERN benutzt werden !!;INTERN
Veraltet ab 4.19;AnamnesLockActive=1;;(funktioniert anscheinend seit Anamnese-Merge nicht mehr)<br>Blockiert das zweite Öffnen der Anamnese des gleichen Patienten und zeigt an, wer seit wann die Anamnese in Bearbeitung hat.;
;askforreasonsondefinitions;0=deaktiviert<br>1=aktiviert;Begründung für Absetzung eines Medikamentes muss zwingend eingegeben werden.<br>Arztauswahl, der die Absetzung verordnet hat.;
;askforreasonsonsignoffs;0=deaktiviert<br>1=aktiviert;"Begründung für außerplanmäßige Gabe von Maßnahmen muss zwingend eingegeben werden.
<br> Bsp.: Medi-Gabe war geplant für 08:00 Uhr, wurde aber um 10:00 Uhr gegeben = Begründung erforderlich.";
;AssertSqlContradiction;0=Unterbinden<br>1=Aktiv lassen (Standard);Opt-Out: Prüfung auf Kontradiktion (z.B. 'where 1=0') in den Statements unterbinden.;
;autoCloseDokWindow;Wert angeben;Schließt Zeitstrahldokument nach x Minuten wenn in GRIPS nicht gearbeitet wird.;
;AutoFillPatNrAufNr;0=deaktiviert<br>1=aktiviert;Wenn keine PatNR und oder Aufnr bekannt ist zur Eingabe, dann werden generische Pseudowerte erstellt.;
;AvoidSameNameGebDat;0=deaktiviert<br>1=aktiviert;Vermeidet, dass Patienten mit dem selben Namen und Geburtsdatum doppelt angelegt werden.;
;AvoidSameNameGebDatSVersNum;0=deaktiviert<br>1=aktiviert;Vermeidet, dass Patienten mit dem selben Namen, Geburtsdatum und Matricule (Sozialversicherungsnummer) doppelt angelegt werden.;
Veraltet, bis 4.19.3;callNewLoginDialog;0 = alte Maske C++<br>1 = neue Maske C#;Aktiviert die neue Anmeldemaske.;LogIn
;CharismaAddress=http://[IP-Adresse]:[Port]/api/;;Wenn Charisma-URL in GRIPS ini gesetzt, dann läuft der GDB über Charisma.<br>Wenn Eintrag nicht vorhanden, dann funktioniert GDB ohne Charisma.;
;check=a;;Es wird keine Freischaltung benötigt.;
;DeactivateMediHausliste;0=aktiviert<br> 1=deaktiviert;"Deaktiviert das Häkchen in der Medikation bei ""in Hausliste suchen"".";
;definitionsMode;0=deaktiviert<br>1=aktiviert;Aktiviert den Pflegeaufwandsänderungsmodus im Interventionsdialog (PPR) + Mikrostandardzuordnung.;
;deleteAnamnesisGroup;0=deaktiviert<br>1=aktiviert;"Im Anamnese-Formular erscheint unten der Button ""Anamnese leeren"" für das Löschen von Anamnese-Bereichen .";
;deleteCareEvaluationGroup;0=deaktiviert<br>1=aktiviert;"Im Pflegevisiten-Formular erscheint unten der Button ""Pflegevisite leeren"" für das Löschen von Pflegevisiten-Bereichen .";
;documentLookup;0=deaktiviert<br>1=aktiviert;Beim Speichern einer Anamnese werden Anamnese-Daten in die Datenbank-Tabelle gr_documentlookup geschrieben.;
;doELGAExport;0=deaktiviert<br>1=aktiviert;ELGA Export aktivieren.<br>Button auf PatientForm wird aktiviert.;
;doNotReloadPatList_AnamChange;0=deaktiviert<br>1=aktiviert;"Sorgt dafür, dass bei Start über die GRIPS-Starter.exe beim Speichern einer Anamnese nicht alle Patienten/Klienten im Navigator neu geladen werden.
<br>Dies macht vor allem bei den großen mobilen Diensten Probleme, da die tausende von Patienten/Klienten auf einer ""Station"" haben = Performanceprobleme.";ILOGS, Volkshilfe-Wien
;doNotShowEigenePflegeDiagnosen;0=deaktiviert<br>1=aktiviert;Im ENP-Baum den Eintrag „Zusätzliche Pflegeprobleme“ ausblenden.;
;doppelteAnmeldung;;Schränkt doppelte Anmeldungen ein, oder verhindert diese.;LogIn
;DosingAddress=vaid.local.recom.lan;;Stellt die Verbindung zum Dosing-Service her.;
;DruckDialogVorAusdruck;0=deaktiviert<br>1=aktiviert;Blendet den Druckdialog ein, in diesem kann der Drucker ausgewählt werden.;
;"ELGA-Config<br>
dir=C:\Grips_Projekt\ELGA_CDA\ELGA_DOCs<br>
show=true";;Parameter für ELGA Export exe.;
;ELGAStartExeWithPath=.\elga_cda.exe;;Parameter für ELGA Export exe.;
;ELGAStartExeWithPath=C:\Grips_Projekt\ELGA_CDA\elga_cda.exe;;Parameter für ELGA Export exe.;
;EnableLoggingOfExceptionsToDatabase;0=deaktiviert<br>1=aktiviert;MadExcept: Aktiviert die Speicherung der Exceptions in der Tabelle gr_exception_logs.;
;enablesqlmonitorsupport;0=deaktiviert<br>1=aktiviert;Exceptions und Debuggen.;
;EnableSubstancesAdministration;"0 = In der Definitionsmaske steht nur die Produktsuche zur Auswahl<br>1 = In der Definitionsmaske steht nur die Wirkstoffsuche zur Auswahl<br>2 = In der Definitionsmaske steht sowohl die Produkt- als auch Wirkstoffsuche zur Auswahl, allerdings wird bei ausgewähltem Hausliste-Häkchen immer die Wirkstoffsuche herangezogen (Weiden Feature)<br>3 = In der Definitionsmaske steht sowohl die Produkt- als auch Wirkstoffsuche zur Auswahl, aber andere Ausgabelogik: Wirkstoffe im Rang absteigend + KEINE Entsprichtstoffe mehr aus + bei Programmeinstellung ""Wirkstoff statt Produktbezeichnung"" werden die Ausnahmemedikamente (IS_HLIST=1) der Wirkstoffanordnung mit der Produktbezeichnung dargestellt";Aktiviert die Wirkstoffsuche !!!! ACHTUNG: MODUL IST LIZENZPFLICHTIG !!!!;
;ExecuteMigrationsOnStartUp;0=deaktiviert<br>1=aktiviert;Fehlende Migrationen beim Start ausführen.;
;ExitDialog;0=aktiviert;Ergänzung zum externen Programmaufruf von GRIPS: Dann kommt die Abfrage ob man GRIPS beenden möchte erst gar nicht und GRIPS CheckDoku wird nach der Meldung, dass die Station, der Patient nicht gefunden wurde gleich beendet.;
;exportLEPReportCVSPath=.\Daten\LEP-Report-csv-export\;;Dateipfad für den Export der LEP-Reportlisten als CSV-Datei.;
;ExportMode;"0=beides ausgeblendet<br>1=??<br>2=blendet Hilfe ""Auswertungsexport alle Stationen"" ein (nicht für Kunden gedacht, nur für interne Zwecke)";"Aktiviert in der Menüleiste die Option ""Zeitwertstatisik vorbereiten"".";
;exportReportCVS;0=deaktiviert<br>1=aktiviert;Export der Reportlisten als CSV-Datei aktivieren.;
;exportReportCVSPath=.\Daten\csv-export\;;Dateipfad für den Export der Reportlisten als CSV-Datei.;
;forceHighQualityPassword;0=deaktiviert<br>1=aktiviert;Erzwingt eine hohe Passwortqualität.;
;hideDemoStationen;0=deaktiviert<br>1=aktiviert;Demostationen in der Anmeldemaske ausblenden.;
;hideHelpMenuitems;0=deaktiviert<br>1=aktiviert;Menü-Einträge (Online-Support (PC-Visit), GRIPS-Windowshilfe und GRIPS-Hilfe PDF) deaktivieren. Hilfe-Menü-Konfigurieren, siehe [Ticket](https://redmine.recom.eu/issues/11696);
;HideInTaskbar;0=deaktiviert<br>1=aktiviert;Einstellungen für ILOGS-Anwendung.;ILOGS
;HideLanguageMenue;0=deaktiviert<br>1=aktiviert;Deaktivieren der Funktion Sprache wechseln (Deutsch/Französich).;Luxemburg
;HideQualificationInAnamnesis;0=deaktiviert<br>1=aktiviert;Qualifikationen im Anamnese-Archiv ausblenden.;
;HideSignOffAtBsCorrectionTable;0=deaktiviert<br>1=aktiviert;"Keine Abzeichnung möglich in Diabetesprotokoll, Intervention ""BZ-Korrektur"" (intervent_id=163), wenn bei der Definition ""BZ-Korrektur anhand einer Korrekturtabelle"" ausgewählt wurde.";
Veraltet ab 4.16;HideStuffOfNoInterest;0=deaktiviert<br>1=aktiviert;"Blendet folgende Programmteile für nicht-Administratoren aus: Mitarbeiter u. Allgemeines im Navigator, bei den Tabsheets werden Allgemein, Schichtbesetzung und Parameter ausgeblendet. Das Ausblenden wird jetzt in den erweiterten 
Programmeinstellungen realisiert!";
;inDebugMode;0=deaktiviert<br>1=aktiviert;INTERN ermöglicht ENP inhaltliche Parameterüberarbeitung (??);Luxemburg
;inDebugMode2;0=deaktiviert<br>1=aktiviert;;Luxemburg
;KISHL7Anbindung; 0=<br>1=Entlassung über das Programm gesperrt und ist nur über die HL7-Schnittstelle möglich;Dieser Wert sollte 0 sein, wenn KEIN KIS-System die PID in der Anamnese befüllt.<br> dann wird bei einer Korrektur der PID die alte überschrieben und kein neuer Aufenthalt angelegt.<br>bei der Entlassungsanamnese werden die Eingabe von Datum und Uhrzeit überprüft, wenn NICHT KISHL7Anbindung=1 ist;
;"language_f0=deutsch<br>
language_f1=französisch<br>
language_f0_locale=de-DE<br>
language_f1_locale=fr-FR<br>
language_f1_Database=XXX\grips-fr.gdb<br>
initLanguage=0";1 = Deutsch<br>2 = Französisch<br>3 = Italienisch<br>4 = Englisch<br>5 = Spanisch;Definition der Sprachdatenbanken.;Luxemburg
